Designator,Val,Package,MidX,MidY,Rotation,Layer
C3,.1uF,C_0805_2012Metric,148.85,-67.0525,180,top
C10,.047uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.85,-85.3025,90,top
C12,.1uF,C_0805_2012Metric,151.6,-76.5525,-90,top
D1,LED,LED_0805_2012Metric,146,-76.5525,90,top
J4,USB,MINI-USB-SMD_MINI-5PTP,133,-92.75,0,top
R1,75,R_0805_2012Metric,157.1,-61.5525,0,top
R2,75,R_0805_2012Metric,121.6,-65.0525,0,top
R3,680K,R_0805_2012Metric,142.35,-59.0525,-90,top
R4,75,R_0805_2012Metric,121.6,-70.5525,0,top
R5,2.2K,R_0805_2012Metric,123.3,-86.1625,-90,top
R6,2.2K,R_0805_2012Metric,125.25,-86.1625,-90,top
R7,47K,R_0805_2012Metric,124.25,-83.3625,180,top
R8,2M2,R_0805_2012Metric,139.85,-72.3025,0,top
R9,2M2,R_0805_2012Metric,141.85,-80.0525,0,top
R10,1K,R_0805_2012Metric,139.85,-70.3025,0,top
R11,1K,R_0805_2012Metric,141.6,-64.0525,0,top
R12,75,R_0805_2012Metric,156.6,-69.8025,0,top
R13,75,R_0805_2012Metric,156.6,-72.1525,0,top
R14,75,R_0805_2012Metric,156.6,-76.8525,0,top
R15,330,R_0805_2012Metric,156.6,-67.5525,0,top
R16,140,R_0805_2012Metric,156.6,-74.5025,0,top
R17,75,R_0805_2012Metric,121.6,-76.0625,180,top
R20,300,R_0805_2012Metric,148,-76.5525,90,top
U1,LM1881,SOIC127P600X175-8N,147.1625,-62.5525,180,top
U2,THS7374IPW,SOP65P640X120-14N,148.85,-71.8025,0,top
